"Model","Version","Product","URL"
"Latitude_3390","1.35.1","Latitude-13-3390-2-in-1-Laptop","https://dl.dell.com/FOLDER12726342M/1/Latitude_3390_1.35.1.exe"
"Latitude_5X90","1.41.0","Latitude-14-5490-Laptop","https://dl.dell.com/FOLDER12975937M/1/Latitude_5X90_1.41.0.exe"
"Latitude_5320","1.45.2","Latitude-13-5320-2-in-1-Laptop","https://dl.dell.com/FOLDER13343350M/1/Latitude_5320_1.45.2.exe"
"Latitude_5330","1.31.1","Latitude-13-5330-Laptop","https://dl.dell.com/FOLDER13343113M/1/Latitude_5330_1.31.1.exe"
"Latitude_5340","1.23.1","Latitude-13-5340-2-in-1-Laptop","https://dl.dell.com/FOLDER13378642M/1/Latitude_5340_1.23.1.exe"
"Latitude_5350","1.15.1","Latitude-13-5350-2-in-1-Laptop","https://dl.dell.com/FOLDER13378731M/1/Latitude_5350_1.15.1.exe"
"Dell_Latitude_7320_Detachable","1.42.0","Latitude-13-7320-Detachable-Laptop","https://dl.dell.com/FOLDER13347134M/1/Dell_Latitude_7320_Detachable_1.42.0_64.exe"
"Latitude_7x80","1.41.3","Latitude-14-7480-Laptop","https://dl.dell.com/FOLDER12689965M/1/Latitude_7x80_1.41.3.exe"
"Latitude_7X90","1.44.0","Latitude-14-7490-Laptop","https://dl.dell.com/FOLDER12975955M/1/Latitude_7X90_1.44.0.exe"
"Latitude_9430","1.33.1","Latitude-14-9430-Laptop","https://dl.dell.com/FOLDER13344397M/1/Latitude_9430_1.33.1.exe"
"Precision_5480","1.21.2","Precision-14-5480-Laptop","https://dl.dell.com/FOLDER13364907M/1/Precision_5480_1.21.2.exe"
"Precision_5490","1.14.2","Precision-14-5490-Laptop","https://dl.dell.com/FOLDER13421145M/1/Precision_5490_1.14.2.exe"
"XPS9510_Precision5560","1.40.0","Precision-15-5560-Laptop","https://dl.dell.com/FOLDER13333133M/1/XPS9510_Precision5560_1.40.0.exe"
"XPS9520_Precision5570","1.34.0","Precision-15-5570-Laptop","https://dl.dell.com/FOLDER13342942M/1/XPS9520_Precision5570_1.34.0_QSL0.exe"
"Precision_7x20","1.40.0","Precision-15-7520-Laptop","https://dl.dell.com/FOLDER12664850M/1/Precision_7x20_1.40.0.exe"
"Precision_7x30","1.42.0","Precision-15-7530-Laptop","https://dl.dell.com/FOLDER12969653M/1/Precision_7x30_1.42.0.exe"
"Precision_7X40","1.42.1","Precision-15-7540-Laptop","https://dl.dell.com/FOLDER13255528M/1/Precision_7X40_1.42.1.exe"
"Precision_7X50","1.40.1","Precision-15-7550-Laptop","https://dl.dell.com/FOLDER13255477M/1/Precision_7X50_1.40.1.exe"
"Precision_7X60","1.41.1","Precision-15-7560-Laptop","https://dl.dell.com/FOLDER13325615M/1/Precision_7X60_1.41.1.exe"
